id,name,bio,image,link
0,Zhouyang Lu,"Zhouyang Lu is a creative, innovative, and passionate graphic and digital media designer with four years of experience designing engaging logos, posters, web pages, UI/UX, brochures, promotional videos, and more. During Zhouyang's graduate studies in digital media at York University, he has been exploring the intersection of design, interactive technologies, and data visualization. He produces excellent pieces for publications and exhibitions every year.",a-visap_1010_Lu_ArtistProfileImage.jpg,https://www.designoflz.com/
1,Hye Yeon Nam,"Hye Yeon Nam is a digital media artist and HCI designer exploring how technology can improve our interactions with other agents - humans, robots, or nature. She foregrounds the complexity of social relationships by making the familiar strange and interpreting everyday behaviors in performative ways. Hye Yeon has participated in exhibitions, festivals, and showcases at ARS Electronica Center, Smithsonian National Portrait Gallery, Asia Society Texas Center, Japanese American National Museum, Times Square, Eyebeam, Conflux festival, D.U.M.B.O. Festival, Festival Internacional de Linguagem Eletronica (FILE), SIGGRAPH, CHI (Computer-Human Interaction), Tangible, Embedded and Embodied Interaction (TEI), International Symposium on Electronic Art (ISEA), Creativity & Cognition (C&C), and several venues in China, Istanbul, Ireland, the UK, Germany, Australia, Denmark, and Switzerland. Her work has been broadcast on the Discovery Channel and published in Leonardo Journal and featured in Wired, We Make Money Not Art, Makezine, Business Insider, Slashdot, Engadget among other publications.",Nam.jpg,http://www.hynam.org
2,Zak Berkowitz,"Zak Berkowitz is a musician and systems administrator who is passionate about enabling creativity, research, and learning through technology.  His career has spanned classical and popular music performance, experimental electronic sound and video art, and IT and systems administration.  He holds degrees in music performance and technology from New Mexico State University, Georgia Southern University, and Louisiana State University.",Berkowitz.jpeg,
3,Yoon C Han,"Yoon C Han is an interactive media artist, award-winning interaction designer, and educator. Over the past ten years, she has created a wide range of interactive 2D/3D audiovisual art installations including biologic art, data visualization and sonification, generative art, and audiovisual interface design. Her recent research focus was on multimodal interactions using body data, in particular on creating a personalized experience in media arts using biometric data visualization and sonification. Her works have been presented in many international exhibitions, conferences, and academic journals. She earned her bachelor and the first Master degree at the Seoul National University, and her second Master degree at Design | Media Arts, University of California, Los Angeles. She holds Ph.D. in Media Arts and Technology at the University of California, Santa Barbara. She is currently an assistant professor in the department of design in the San Jose State University.",YoonHan_Profile_pic high_res.jpeg,http://yoonchunghan.com/portfolio/index.html
4,Junlin Zhu,"Graduate student, School of Design in Jiangnan University 
Her main research directions are narrative visualization, information experience design, and interactive art. Her works shortlisted twice by IEEE PaciGicVis Visual Data Storytelling, and won Gold Award of China VISAP Art Competition, etc. ",Junlin Zhu.jpg,
5,Wenxuan Zhao,"Graduate student, School of Design in Jiangnan University 
Main research direction: game design, new media art. His work has won awards in international competitions such as 2018 IGEM, 2019 Golden Dolphin, 2020 Made With Unity, etc.",Wenxuan Zhao.jpg,
6,Yingjing Duan,"Graduate student, School of Design in Jiangnan University 
Her researches digital media art and artiGicial intelligence-assisted design. She explores the change of design paradigms in the digital age and the possibility of combining deep learning with Chinese cultural research. She published two original research articles on FRONTIERS IN PSYCHOLOGY, A Novel Paradigm to Design Personalized Derived Images of Art Paintings Using an Intelligent Emotional Analysis Model; and Research on Emotion Analysis of Chinese Literati Painting Images Based on Deep Learning. ",Yingjing Duan.jpg,
7,Juanjuan Long," Associate Professor, School of Design in Jiangnan University 
She is mainly engaged in the research of data information visualization, graphic design, and digital media interaction design. Her information design work was published in Data Flow by Gestalten Publishing House. Her design and guidance works were shortlisted twice by IEEE PaciGicVis Visual Data Storytelling, and won Gold Award of China DataViz Competition, Gold Award of China VISAP Art Competition, etc. ",Juanjuan Long.jpg,
8,Kevin Maher,"Kevin Maher is an American designer living in China currently working on research projects in the Institute of Software at the Chinese Academy of Sciences, as well as doing freelance design and development work. Kevin graduated with a masters in visual communication at Tsinghua University. His interests include cultural analytics, data visualization, and human-computer interaction. 

Kevin further explores our spoken expression in this year’s VIS paper E-ffective: A Visual Analytic System for Exploring the Emotion and Effectiveness of Inspirational Speeches. Kevin plans to work on commercial and research projects between China and the United States, and welcomes collaboration. ",kevin.jpg,https://www.diatom.co
9,Fan Xiang,"Fan Xiang, a scholar and graphic designer, is currently Associate Professor of Art and Design at Tsinghua University, where she teaches undergraduate and graduate courses. She is particularly interested in the intersection between art/design with strong social concern.
 
Fan is known for her visualization-based artworks. She is interested in synthesizing graphic design and technology as a telescope into unseen reality.",fan.jpg,https://www.zeelab.xyz
10,Liang Zhi,"Liang Zhi is a graduate student at Tsinghua University, majoring in visual communication design.  Liang’s interests include interaction design, installation design and generative AI art. She received her BFA in communication design in 2019 with an additional minor degree in Technology Innovation and Entrepreneurship. Her work focuses on exploring “long distance relationships” designing for remote interactions between people.",liang.jpg,
11,Anqi Song,"Anqi Song, born in 1996, is currently studying for a master's degree in digital Interactive Art from The School of Fine Arts, Shanghai University. Her current creation focuses on exploring more possibilities by combining intangible cultural heritage techniques with data visualization and narrative, and her main direction is data visualization design, digital humanities and interaction design. Works are often presented in the form of Web pages and product designs. It is believed that humanistic knowledge can be reshaped and transformed through design, calculation, analysis, visualization and other means.",a-visap_1037_Song_Artist bio_Song Anqi.jpg,
12,Xintong Song,"Xintong Song is currently a postgraduate student of Shanghai Academy of Fine Arts, Shanghai University. Her major is digital interactive technology and performance. Her current research focuses on data visualization design, interaction design and user experience design. ",a-visap_1037_Song_Artist bio_Song Xintong.jpg,
13,Yuhao Chen,"Yuhao Chen is currently a postgraduate student of Shanghai Academy of Fine Arts, Shanghai University. His major is digital interactive technology and performance, focusing on interaction and public space design. Undergraduate at the Shanghai Film Academy, good at screenwriting, shooting, editing and post-production of video. Hope to combine interaction, imagery and space design to explore new ways of visual representation. ",a-visap_1037_Song_Artist bio_Chen Yuhao.jpg,
14,Guangyu Luo,"Guangyu Luo, Master. Lead illustrator of the artwork submitted for this art Visualization Competition. She studied at Shanghai Academy of Fine Arts with a bachelor's degree in digital media art and a master's degree in design. Her current research focuses on illustration, story book and material application in mural creation. ",a-visap_1037_Song_Artist bio_Luo Guangyu.jpg,
15,Qiansheng Li,"Qiansheng Li, Ph.D., Associate Professor, deputy dean of the Department of Digital Art of the Shanghai Academy of Fine Arts College, member of the Information and Interaction Design Committee of the China Industrial Design Association, member of the Visualization Committee of the Chinese Society of Image and Graphics, and member of the Shanghai Creative Workers Association. Visiting Scholar of Massachusetts Institute of Technology Media Lab. His research interests include Information Design, Data Visualization, and Digital Humanities. Focus on establishing a practical path between big data, machine intelligence and design, also rethinking the relationship between human, culture and machine in the age of Artificial Intelligence.",a-visap_1037_Song_Artist bio_Li Qiansheng.jpg,
